[SECTION] STD DATATYPES
MPI_C_BOOL 0x2aaaab57c800
MPI_CHAR 0x2aaaab57ea00
MPI_WCHAR 0x2aaaab57cc00
MPI_CHARACTER 0x2aaaab57a800
MPI_UNSIGNED_CHAR 0x2aaaab57e600
MPI_SIGNED_CHAR 0x2aaaab57e800
MPI_INT 0x2aaaab57de00
MPI_LONG 0x2aaaab57da00
MPI_LONG_LONG_INT 0x6ac940
MPI_LONG_LONG 0x6ac940
MPI_SHORT 0x2aaaab57e200
MPI_UNSIGNED_SHORT 0x2aaaab57e000
MPI_UNSIGNED 0x2aaaab57dc00
MPI_UNSIGNED_LONG 0x2aaaab57d800
MPI_UNSIGNED_LONG_LONG 0x2aaaab57d400
MPI_INTEGER 0x2aaaab57a600
MPI_FLOAT 0x2aaaab57d200
MPI_DOUBLE 0x6ad940
MPI_REAL 0x2aaaab57a400
MPI_DOUBLE_PRECISION 0x2aaaab57a200
MPI_LONG_DOUBLE 0x2aaaab57ce00
MPI_LOGICAL 0x2aaaab57aa00
MPI_COMPLEX 0x2aaaab57b600
MPI_DOUBLE_COMPLEX 0x2aaaab57b400
MPI_BYTE 0x6ae980
MPI_PACKED 0x2aaaab57ca00
MPI_INT8_T 0x2aaaab577000
MPI_INT16_T 0x2aaaab576c00
MPI_INT32_T 0x2aaaab576800
MPI_INT64_T 0x2aaaab576400
MPI_UINT8_T 0x2aaaab576e00
MPI_UINT16_T 0x2aaaab576a00
MPI_UINT32_T 0x2aaaab576600
MPI_UINT64_T 0x2aaaab576200
MPI_C_COMPLEX 0x2aaaab57c200
MPI_C_FLOAT_COMPLEX 0x2aaaab57c400
MPI_C_DOUBLE_COMPLEX 0x2aaaab57c000
MPI_C_LONG_DOUBLE_COMPLEX 0x2aaaab57be00
MPI_AINT 0x2aaaab576000
MPI_OFFSET 0x2aaaab575e00
MPI_COUNT 0x2aaaab575c00
MPI_CXX_BOOL 0x2aaaab57c600
MPI_CXX_FLOAT_COMPLEX 0x2aaaab57bc00
MPI_CXX_DOUBLE_COMPLEX 0x2aaaab57ba00
MPI_CXX_LONG_DOUBLE_COMPLEX 0x2aaaab57b800
[END] STD DATATYPES
[SECTION] STD OPS
MPI_MAX 0x6acb40
MPI_MIN 0x2aaaab593700
MPI_SUM 0x6ae140
MPI_PROD 0x2aaaab592700
MPI_LAND 0x2aaaab591f00
MPI_BAND 0x2aaaab591700
MPI_LOR 0x2aaaab590f00
MPI_BOR 0x2aaaab590700
MPI_LXOR 0x2aaaab58ff00
MPI_BXOR 0x2aaaab58f700
MPI_MAXLOC 0x2aaaab58ef00
MPI_MINLOC 0x2aaaab58e700
[END] STD OPS
[SECTION] STD_COMMUNICATORS
MPI_COMM_WORLD 0x6adb40
[END] STD_COMMUNICATORS
[SECTION] OPS SET
0x6acb40
0x6ae140
[END] OPS SET
[SECTION] DATATYPE SET
0x6ac940 8
0x6ad940 8
0x6ae980 1
0x2aaaab57de00 4
[END] DATATYPE SET
[SECTION] COMMUNICATOR SET
0x6adb40 48
[END] COMMUNICATOR SET
[SECTION] BUFFER SET
0 0
9227680 16
9227696 16
9227712 16
9227728 16
9227744 16
9227760 16
9227776 16
9228032 56
9228040 8
9228048 8
9228056 8
9228064 8
9228072 8
9228096 56
9228152 56
9228208 56
9228264 56
9228320 56
9228376 56
9228432 56
9230336 16
9235168 16
9236760 16
9237072 8
9245696 16
9322256 8
65951008 73728
66024736 73728
66098464 768
66099232 73728
66172960 768
66173728 768
66174496 8
66174512 73728
66248240 73728
66321968 768
66322736 73728
66347968 6176
66351624 3664
66354144 6104
66355288 488
66355776 3784
66359424 10856
66359560 576
66360136 632
66360248 200
66360448 6200
66360768 48
66366648 296
66366944 304
66367248 1336
66368584 1488
66370072 616
66370280 320
66370600 11088
66370688 1496
66372184 584
66372768 624
66373392 64
66377664 56
66377720 56
66377776 56
66377832 56
66377888 56
66377944 56
66378000 56
66378056 56
66378112 56
66380200 3656
66381688 616
66382304 504
66383856 3664
66384064 8
66384072 1048
66384080 8
66384088 8
66384096 8
66384104 8
66384112 8
66384120 8
66384128 8
66384136 8
66384144 8
66384152 8
66384160 8
66384168 8
66384176 8
66384184 8
66384192 8
66384200 8
66384208 8
66385120 1048
66385408 16
66386168 416
66386584 1064
66386888 2880
66387520 488
66387648 360
66388008 3784
66388424 104
66388544 160
66388552 1432
66388688 72
66388704 80
66388760 168
66388784 168
66388928 112
66388952 160
66389040 32
66389072 104
66389112 48
66389160 80
66389176 40
66389216 176
66389240 56
66389296 168
66389392 144
66389464 152
66389536 32
66389568 144
66389616 32
66389648 120
66389712 104
66389768 2848
66389816 16
66389832 48
66389880 16
66389896 32
66389904 56
66389928 8
66389936 88
66389960 16
66389976 48
66389984 1432
66390024 24
66390048 16
66390064 8
66390496 144
66390640 72
66390712 168
66390880 112
66390992 32
66391024 104
66391128 40
66391168 176
66391344 144
66391416 72
66391488 1440
66391520 144
66391664 104
66391768 16
66391784 48
66391792 576
66391832 24
66391856 56
66391912 16
66391928 48
66391976 24
66392368 632
66392616 24
66392640 2736
66392928 72
66393000 104
66393024 0
66393032 0
66393384 16
66393504 16
66395376 56
66395432 56
66396464 768
66397024 16
66397040 16
66397056 16
66397072 16
66397088 16
66397104 16
66397120 16
66397232 768
66397376 56
66397384 8
66397392 8
66397400 8
66397408 8
66397416 8
66397440 56
66397496 56
66397552 56
66397608 56
66397664 56
66397720 56
66397776 56
66398000 8
66404328 1336
66405664 1336
66406368 56
66406424 56
66406480 56
66406536 56
66406592 56
66406648 56
66406704 56
66406760 56
66406816 56
66407000 56
66407056 1320
66407296 16
